command,bits,uniformity
setTune 0x1 0x5,1111111001111110111111110111111011000000011000001100000001111110000000000111100011000000111110000000011011111100,0.5178571428571429
setPattern -t 0x0 0x0,000001100000110011111000011110001111111111111111000111100000011011111100000011000000011000011110000011000011111100011000011110001111001111000000100110001000000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100001111000110011000001111000000011011001100000111110011000000111101111001100011110000000110110011000001100000110001100000010011000000111100000001101100110000011000001100011000000000110001100110000011000111111000011001110000110000110001100000000011000110011110001100011111111000001100011111111100110011110001100110000011110000000110011110001100110011000000000110000111111100001100111100011001100011110000000110000011110000000110110011000001111100110001110011010011000000111101111001111111100000001100111111000001100001111111000011001111000000011001111000000011000111001100001100000001100001111110001100001111000001111111100001110011000000110000000000010011000111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4381720430107527
setPattern -b 0x0 0x0,011000001111000000000110000011000000000011100001111111101111111000011110001111111000000010011000000111101100110010011110000001100000110011100110000111101100110010011110100001101000011000000110111111000110011011001100000001101100111101100110110011001000011010011110100000000000011000000000000001101111000001100110111111001000011010011110000001100011111110011000000110001111111100000110110000110000110010000000000110000000110000111111100000000001100011000000001111001111111000011110001111111000000000011000000011000011111100011000011110000011000011111100,0.4365942028985507
getReadout -tune -temp -ch 1000,0110000000111100111111101001111011111000000111101100111100111111000110000111100011000000110000001001111001100000110011110110011011001111110011000111111011100000100000001001100010011110000000000111100100011110000000111000000001100000110000000110000000111100,0.453125
setTune 0x1 0x6,11111110011111101111111111100110000111100011000000110011000111100111100000110000111100000111100011100110,0.5673076923076923
setPattern -t 0x0 0x0,00011110111111110000011000001100111110000111100011111111111111110001111000000110111111000000110000000110000111100000110000111111000110000111100011110011110000001001100010000000111001101000011000011000001111000000011000111100000111100011111110000000100111101001100000011000000000000001100000001100100110000001100000000011011001100000111100011000110000000001100011001100100110001000000000011000111111000011001110000110000110001100001100011000110000000001100011111100001100110111100011001100111100111001100000011110111100111111110000000110011111100000110000000011011000001100000011100000011001100000111100011000110000000001100011001100000110000000110011100110100111101110000001100110000011001001100000011110110000110001111000000011011001100000110000011000110000001001100000011110000000110011111100000110011001100000110010011000000111101111001100011110111100110011110000000110011001100000110000011000110000000001100011001100000110001111110000110011100001100001100011000000000110001100110000011000000011000000011000111111111001100111100011001100011110001100110000011110000000110110011000001111100110000001111011110011000111100000001101100110000011001001100000011110001100110001111000000011110000110000011001100110000011000001100011000000000110001100111100011000111111000011001110000110000110001100000000011000110011000001100011111100001100111000011000011000110011000001100011001111000110001111110000110011011110000000110000011110111100110011110001100110011000000000110000111111100001100111100011001100011110000000110000011110000000110110011000001111100110001110011010011000000111101111001111111100000001100111111000001100001111111000011001111000000011001111000000011000111001100001100000001100001111110001100001111000001111111100001110011000000110000000000010011000111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4328621908127208
setPattern -b 0x0 0x0,01100000111100001111111001111110111111000111100000110000111100001000011010000110011000001111000001100110110000001110011010000000100110001000000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000100110001111100001100110111111001000011010011110011000000011111100000110001111001000000000000110110000001100110010000110100001101111100010000110111110001110011010011110000110000011111100000000000110000011111101100110110000110110011011000000100001101111100000000110110000001100110011100110100001101001111001100110001111001000000000000110111100000110011011000011111001101110000000000110111100110110011011000011000001101100001100000110110000000000110011100110111001101001111010011110100111100110011000111100111110001001111000000000000110000000000001100110110011001100110000011000001100111000000010011000100000001000000001100110110011000000011011001111011001101100110010000110100111101000000000000110000000000000011011110000011001101111110010000110100111100000011000111111100110000001100011111111000001101100001100001100100000000001100000110011001111110001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100011100000000110001100001110011000000110001100001100111111000001100110000011001100111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4287234042553191
getReadout -tune -temp -ch 1000,1001100011111000000001100011110011111000100111100001111000110000001100111110000011100110100001100001100000111100000001100011110000011110001111111000000010011110100110000001100000000000000110000000110010011000000110000000001101100110000011111001100011100000000110001100001110011000100000000000011000111111100001100111100011001100000111101100001100011110111100110001100011000011001111110000011001100000110011001110000011100110100111101110011010011110111001101001111000000110001111001111100010011110011000000011110000000000000110000011111111100110100111100110000000111111000000000001100000001111111001101001111001100110001111111111100010011110011000000011110011100110100000001001100010000000100000000110011011001100000001101100111101100110110011001000011010011110100000000000011000000000000001101111000001100110111111001000011010011110000001100011111110011000000110001111111100000110110000110000110010000000000110000011001100111111100000001000011000011110001100000011000000011110110011001001111011100110100001101000011011100110011111101100000001100000111100000110000011000000100000001000000010000000100000001000000010000000100000001000000010011110011000001100111101100110110011111100110000011110000110001111000000110011011001100110011011110011110000001001100010000000111001101000011000011000001111000000011000111100000111100011111110000000100111101001100000011000000000001001100001111000000011000011110010000110100001101000011001111110000011001100000010011000111000001110011010011110111001101001111011100110100111100000011000111100111110001001111001100000001111000000000000011000001111111110011010011110011000000011111100000000000110000000111111100110100111100110011000111111111110001001111001100000001111001110011010000000100110001000000010000000011001101100110000000110110011110110011011001100100001101001111010000000000001100000000000000110111100000110011011111100100001101001111000000110001111111001100000011000111111110000011011000011000011001000000011111000,0.4270408163265306
setTune 0x1 0x7,11111110011111101111111111100110000111100011000000110011111111100110011000110000111100000111100011100110,0.5961538461538461
setPattern -t 0x0 0x0,000111101111111100000110000011001111100001111000111111111111111100011110000001101111110011001100000111100001100000110011111100001110011010000110000110000011110000000110001111000001111000111111100000001001111010011000000110000000000000011000000011001001100000011000000000110110011000001111100110000111100011001100000111100000001101100110000011111001100000011110111100110001111000000011011001100000110010011000000111100011001100011110000000111100001110000110011001101111000001100110000011000001100011000000000110001100110000011000111111000011001110000110000110001100110000011000110011110001100011111100001100110111100000001100000111101111001100111100011001100110000000001100001111111000011001111000110011000111100000001100000111100000001101100110000011111001100011100110100110000001111011110011111111000000011001111110110011000001100011000011001111110000011001100000110011001110000011100110100111101110011010011110111001101001111000000110001111001111100010011110011000000011110000000000000110000011111111100110100111100110000000111111000000000001100000001111111001101001111001100110001111111111100010011110011000000011110011100110100000001001100010000000100000000110011011001100000001101100111101100110110011001000011010011110100000000000011000000000000001101111000001100110111111001000011010011110000001100011111110011000000110001111111100000110110000110000110010000000100110000111111011111111111001100001111000110000001100111111111001100110001100001111000001111000111001100001111011111111000001100000110011111000011110001111111111111111000111100000011011111100000011000000011001100000110000000110000011110000,0.4614427860696517
